yasha@yasha-VirtualBox:~/embedUr-Training/Linux-Training$ ps -ef
UID          PID    PPID  C STIME TTY          TIME CMD
root         266  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-tt
root         272  0.0  0.1  30616  8748 ?        Ss   16:25   0:00 /usr/lib/syst
root         366  0.0  0.0      0     0 ?        S    16:25   0:00 [psimon]
systemd+     399  0.0  0.1  21592 13344 ?        Ss   16:25   0:00 /usr/lib/syst
root         599  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-cr
root         610  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-ip
avahi        612  0.0  0.0   8752  4636 ?        Ss   16:25   0:01 avahi-daemon:
message+     613  0.0  0.0  12004  6884 ?        Ss   16:25   0:04 @dbus-daemon 
gnome-r+     616  0.0  0.2 512812 16480 ?        Ssl  16:25   0:00 /usr/libexec/
polkitd      619  0.0  0.1 390496 11888 ?        Ssl  16:25   0:01 /usr/lib/polk
root         620  0.0  0.0 313376  7372 ?        Ssl  16:25   0:00 /usr/libexec/
root         625  0.0  0.1 313768  8280 ?        Ssl  16:25   0:00 /usr/libexec/
root         626  0.0  0.0   9424  2944 ?        Ss   16:25   0:00 /usr/sbin/cro
root         627  0.0  0.0 309888  6924 ?        Ssl  16:25   0:00 /usr/libexec/
root         629  0.0  0.1  18148  9004 ?        Ss   16:25   0:00 /usr/lib/syst
root         630  0.0  0.1 469680 14636 ?        Ssl  16:25   0:00 /usr/libexec/
avahi        636  0.0  0.0   8480  1636 ?        S    16:25   0:00 avahi-daemon:
root         690  0.0  0.2 336604 19648 ?        Ssl  16:25   0:02 /usr/sbin/Net
root         692  0.0  0.0  17384  6532 ?        Ss   16:25   0:00 /usr/sbin/wpa
root         724  0.0  0.1 392032 12968 ?        Ssl  16:25   0:00 /usr/sbin/Mod
syslog       727  0.0  0.0 222564  6228 ?        Ssl  16:25   0:00 /usr/sbin/rsy
root        1074  0.1  0.0 355648  2800 ?        Sl   16:25   0:31 /usr/bin/VBox
root        1087  0.0  0.0 295784  3928 ?        Sl   16:25   0:08 /usr/sbin/VBo
root        1171  0.0  0.0      0     0 ?        S    16:25   0:00 [psimon]
root        1199  0.0  0.3 117972 25144 ?        Ssl  16:25   0:00 /usr/bin/pyth
root        1218  0.0  0.5 1718712 45220 ?       Ssl  16:25   0:10 /usr/bin/cont
root        1247  0.0  0.1 314820  9620 ?        Ssl  16:25   0:00 /usr/sbin/gdm
root        1279  0.0  0.1 463604 11044 ?        Sl   16:25   0:00 gdm-session-w
kernoops    1295  0.0  0.0  12744  2516 ?        Ss   16:25   0:00 /usr/sbin/ker
kernoops    1299  0.0  0.0  12744  2612 ?        Ss   16:25   0:00 /usr/sbin/ker
yasha       1328  0.0  0.1  21304 12692 ?        Ss   16:25   0:02 /usr/lib/syst
yasha       1330  0.0  0.0  21464  3784 ?        S    16:25   0:00 (sd-pam)
root        1353  0.0  0.9 1835204 78192 ?       Ssl  16:25   0:03 /usr/bin/dock
yasha       1368  0.0  0.1 114860 14064 ?        Ssl  16:25   0:05 /usr/bin/pipe
yasha       1370  0.0  0.0  97736  5980 ?        Ssl  16:25   0:00 /usr/bin/pipe
yasha       1374  0.0  0.2 406852 18768 ?        Ssl  16:25   0:00 /usr/bin/wire
yasha       1375  0.0  0.1 116952 14440 ?        Ssl  16:25   0:00 /usr/bin/pipe
yasha       1377  0.0  0.1 316508 10340 ?        SLsl 16:25   0:00 /usr/bin/gnom
yasha       1395  0.0  0.0  11144  6912 ?        Ss   16:25   0:01 /usr/bin/dbus
rtkit       1419  0.0  0.0  88476  3536 ?        SNsl 16:25   0:00 /usr/libexec/
yasha       1431  0.0  0.0 235668  6140 tty2     Ssl+ 16:25   0:00 /usr/libexec/
yasha       1436  0.0  0.2 298236 16644 tty2     Sl+  16:25   0:00 /usr/libexec/
yasha       1459  0.0  0.0 628748  7564 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       1488  0.0  0.0 309308  6268 ?        Ssl  16:25   0:00 /usr/libexec/
root        1507  0.0  0.0   2704  2040 ?        Ss   16:25   0:00 fusermount3 -
yasha       1521  0.0  0.0 162652  6832 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       1523  0.0  0.0  91548  5744 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       1530  0.0  0.1 314268  8144 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       1544  0.0  0.0 459708  7200 ?        Sl   16:25   0:00 /usr/libexec/
yasha       1550  0.0  0.2 667952 18444 ?        Ssl  16:25   0:00 /usr/libexec/
yasha       1594  1.2  5.2 3565732 427536 ?      Ssl  16:25   3:35 /usr/bin/gnom
yasha       1595  0.0  0.0 382940  8016 ?        Sl   16:25   0:00 /usr/libexec/
